Power (nW)
,2,,,,,,,,,3,,,,,,,,,4,,,,,,,,,5,,,,,,,,
,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10
dsc_serial_mul,139306.279,190971.608,236493.518,290991.885,336731.829,380210.475,422931.662,470639.250,523758.641,199680.881,274863.084,352497.687,424922.880,494972.927,555258.057,622674.311,687489.393,777855.406,260714.871,363576.430,466401.028,557528.952,650019.446,744482.126,825351.978,912006.457,1023441.927,324750.652,454870.192,576115.557,694118.958,802296.904,913065.948,1023282.078,1137236.196,1270418.298
es_naive_mul,140675.503,193639.590,237838.329,293701.107,338197.244,381366.134,426630.954,474504.991,525073.979,202260.958,276487.228,352072.102,426401.989,496233.628,554438.203,625812.142,687058.465,779173.907,260977.024,365059.093,466451.762,558932.446,654094.672,742646.878,828888.160,913283.460,1024792.030,326266.680,456464.040,576647.460,695453.790,802740.751,915599.303,1028981.485,1136451.707,1269918.871
es_ordered_bs_mul,148404.579,208015.804,262545.678,318311.047,366369.876,419463.975,464735.633,512146.773,575988.484,225141.971,325350.232,417301.200,493632.740,591323.250,658386.626,769336.178,839787.754,938216.866,321652.577,446555.603,600584.920,695576.260,838995.248,964349.222,1096270.822,1202123.799,1329840.503,433863.525,632858.002,781949.692,931470.381,1108537.533,1272249.455,1473622.345,1595114.770,1778080.038
es_ordered_cas_mul,135429.106,184654.273,234002.236,291811.471,338145.671,393657.574,439984.844,501143.330,543976.083,210838.394,299371.823,394698.391,488556.700,588871.563,663937.403,759845.043,865574.387,965052.403,290862.658,421124.217,564878.481,712368.458,848436.385,991971.922,1117663.512,1280142.602,1415533.984,388070.327,585352.461,788381.434,1024750.360,1235463.443,1439078.046,1642717.711,1865777.373,2085855.982
ms_serial_by2_mul,125253.745,184211.971,232368.950,290887.486,327152.873,369039.665,418545.486,476567.131,546549.314,190819.051,275146.101,358620.250,423671.508,496678.667,567042.056,635764.904,712714.043,808494.063,246369.258,386340.602,494825.453,603165.693,682902.601,761463.198,863043.374,1003373.857,1117871.916,331918.443,526601.563,679676.123,781096.113,914732.733,1041261.073,1147443.748,1302180.046,1461938.938
ms_es_naive_by2_mul,126598.581,182237.338,233932.318,286876.543,328707.573,370115.546,419931.964,478038.926,544961.149,189987.412,276719.940,358331.162,423494.113,496433.945,567145.202,634184.910,716662.206,811357.852,245098.194,383198.750,491287.306,598963.128,679295.483,758397.074,859427.335,1000969.956,1116202.995,338542.574,526204.951,674925.991,777676.029,905722.138,1048570.837,1150377.975,1308953.137,1455120.441
ms_es_ordered_cas_by2_mul,100387.366,155410.922,209734.235,269935.230,321777.314,367144.799,428769.423,488528.004,546450.325,169073.506,259250.394,363431.417,465071.187,562655.687,650738.697,741738.846,855816.537,963900.231,238612.702,376704.153,526152.435,687179.373,827579.522,962885.327,1109054.880,1299252.167,1437583.873,335451.959,537625.992,761277.550,1001093.308,1217915.780,1463274.287,1669185.219,1905253.495,2139424.583
ms_es_ordered_bs_by2_mul,130220.712,212646.598,279858.949,344743.365,405037.277,461966.146,520983.419,579744.544,649303.477,208495.204,337151.903,481220.615,587217.150,681533.047,797618.547,933080.381,1020354.397,1150547.174,292438.372,538068.079,740981.525,927836.062,1055845.885,1229639.175,1438465.779,1611545.573,1781396.448,431795.662,793302.220,1139711.117,1353391.005,1585389.002,1823044.803,2074656.698,2334557.083,2564343.323
ms_serial_by4_mul,117971.207,225330.001,297200.093,338598.613,370856.716,404423.411,450278.404,484617.846,570331.272,154401.236,241375.418,318840.006,394672.735,465846.281,536531.034,592371.749,691739.522,753078.555,216880.072,343945.158,449148.728,550329.138,625313.769,715737.989,812570.842,970487.124,1044289.208,287492.910,475221.521,634861.945,754831.770,839031.507,958934.424,1092314.451,1255803.685,1356196.654
ms_es_naive_by4_mul,119371.198,233699.146,301020.333,339766.686,375052.758,407459.416,452598.673,488106.111,574764.047,217103.003,466174.029,582747.720,667681.077,734637.161,781579.607,799486.531,856178.332,963900.935,361340.342,1102567.356,1609118.951,1675834.300,1572788.388,1515725.049,1652006.271,1617402.067,1799786.962,572497.027,2863037.877,4695726.126,5311411.115,4601938.340,4279005.111,4417896.058,4292018.885,4249422.204
ms_es_ordered_cas_by4_mul,77438.493,132995.588,188809.187,244730.432,299754.096,349399.935,414749.866,463681.550,537155.224,135283.028,233193.810,328628.546,429344.529,533123.948,627841.610,714184.429,827470.313,943595.651,197992.458,352024.706,495460.209,651624.971,797700.013,939961.745,1118125.086,1247837.228,1453562.431,299907.741,569142.770,794115.593,1029245.283,1268801.422,1476744.622,1705449.460,1985797.181,2224986.244
ms_es_ordered_bs_by4_mul,125602.688,252891.881,379534.694,454662.714,517039.318,577758.766,664185.928,760945.241,825865.566,240485.579,587780.363,843400.125,956076.861,1138341.381,1242062.552,1402766.486,1512984.891,1727919.758,431704.266,1384495.152,2164241.683,2457663.358,2335590.229,2533978.169,2748263.435,2878054.187,3166072.733,694696.263,3616447.770,6657880.311,7475697.199,6519321.411,6212409.248,6217736.006,6271391.037,6547098.295
